Arquivo 1,Arquivo 2,Distância Média
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0060.csv,160.5242551349336
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0061.csv,268.69428408991615
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0063.csv,412.76352290723327
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0065.csv,227.2406032387534
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0066.csv,232.1140352278589
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0067.csv,289.13628749068494
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0068.csv,158.49609821585528
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0069.csv,171.1177006628987
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0070.csv,268.3396835664646
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0071.csv,45.46727621382239
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0072.csv,177.17585216364498
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0073.csv,193.33404940630572
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0074.csv,41.89989024027866
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0075.csv,39.60088197150395
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0076.csv,186.7068630500663
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0077.csv,237.9788905307465
